--- CONDITION 3.1 FIND ALL ONES ---

	 PATTERN LENGTH	 SEARCH INSPECT TIMES	 CONSTRUCT INSPECT TIMES	 SEARCH TIME(ms)	 CONSTRUCT TIME(ms)	 TOTAL TIME(ms)	 FOUND POSITION	
	 2	 12	 2	 0	 0	 0	 4	
	 4	 135	 6	 0	 0	 0	 35	
	 8	 1154	 14	 0	 0	 0	 314	
	 16	 28813	 30	 0	 0	 0	 -1	
	 32	 28813	 62	 0	 0	 0	 -1	
	 64	 28813	 126	 0	 0	 0	 -1	
	 128	 28813	 254	 0	 0	 0	 -1	
	 256	 28813	 510	 0	 0	 0	 -1	
	 512	 28813	 1022	 0	 0	 0	 -1	
	 1024	 28813	 2046	 0	 0	 0	 -1	
	 2048	 28813	 4094	 0	 0	 0	 -1	
	 4096	 28813	 8190	 0	 0	 0	 -1	
	 8192	 28813	 16382	 0	 0	 0	 -1	
--- CONDITION 3.2 FIND (N-2) 0 + 1 + 0 ---

	 PATTERN LENGTH	 SEARCH INSPECT TIMES	 CONSTRUCT INSPECT TIMES	 SEARCH TIME(ms)	 CONSTRUCT TIME(ms)	 TOTAL TIME(ms)	 FOUND POSITION	
	 2	 17	 2	 0	 0	 0	 5	
	 4	 216	 9	 0	 0	 0	 65	
	 8	 1577	 29	 0	 0	 0	 470	
	 16	 28525	 69	 0	 0	 0	 -1	
	 32	 28525	 149	 0	 0	 0	 -1	
	 64	 28525	 309	 0	 0	 0	 -1	
	 128	 28525	 629	 0	 0	 0	 -1	
	 256	 28525	 1269	 0	 0	 0	 -1	
	 512	 28525	 2549	 0	 0	 0	 -1	
	 1024	 28525	 5109	 0	 0	 0	 -1	
	 2048	 28525	 10229	 0	 1	 1	 -1	
	 4096	 28525	 20469	 0	 0	 0	 -1	
	 8192	 28525	 40949	 0	 0	 0	 -1	
--- CONDITION 3.3 FIND N*0 IN (N-1) 0 + 1 + (N-1)0 ---

	 PATTERN LENGTH	 SEARCH INSPECT TIMES	 CONSTRUCT INSPECT TIMES	 SEARCH TIME(ms)	 CONSTRUCT TIME(ms)	 TOTAL TIME(ms)	 FOUND POSITION	
	 2	 4	 2	 0	 0	 0	 0	
	 4	 8	 6	 0	 0	 0	 0	
	 8	 2902	 14	 0	 0	 0	 834	
	 16	 28525	 30	 0	 0	 0	 -1	
	 32	 28525	 62	 1	 0	 1	 -1	
	 64	 28525	 126	 0	 0	 0	 -1	
	 128	 28525	 254	 0	 0	 0	 -1	
	 256	 28525	 510	 0	 0	 0	 -1	
	 512	 28525	 1022	 0	 0	 0	 -1	
	 1024	 28525	 2046	 0	 0	 0	 -1	
	 2048	 28525	 4094	 0	 0	 0	 -1	
	 4096	 28525	 8190	 1	 0	 1	 -1	
	 8192	 28525	 16382	 0	 0	 0	 -1	
--- CONDITION 3.4 RANDOM ---

	 PATTERN LENGTH	 SEARCH INSPECT TIMES	 CONSTRUCT INSPECT TIMES	 SEARCH TIME(ms)	 CONSTRUCT TIME(ms)	 TOTAL TIME(ms)	 FOUND POSITION	
	 2	 19	 2	 0	 0	 0	 3	
	 4	 135	 6	 0	 0	 0	 35	
	 8	 54	 17	 0	 0	 0	 10	
	 16	 28285	 51	 0	 0	 0	 -1	
	 32	 28789	 95	 0	 0	 0	 -1	
	 64	 25300	 192	 0	 0	 0	 -1	
	 128	 26806	 404	 0	 0	 0	 -1	
	 256	 27985	 825	 1	 0	 1	 -1	
	 512	 25504	 1577	 0	 0	 0	 -1	
	 1024	 28201	 3471	 0	 0	 0	 -1	
	 2048	 27139	 6602	 0	 0	 0	 -1	
	 4096	 27952	 13767	 0	 0	 0	 -1	
	 8192	 25816	 25937	 0	 0	 0	 -1	
